2020-04-29T14:15:13.367, i=0
2020-04-29T14:16:10.546, i=100
2020-04-29T14:16:12.411, i=200
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7d2159)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5a0efc59)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3fd05c66)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@81b12ac)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@61858d1f)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4cc44942)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@714a1fd0)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2114fd27)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6c34616f)
2020-04-29T14:16:13.597, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2d4abf2)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@23c190e7)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@25baac7d)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6aca9ebc)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4d66332c)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@620fc4cf)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@12a645b7)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2c271621)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5024bfda)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4c9130ad)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6cba4f75)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7838dadd)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@d17706f)
2020-04-29T14:16:13.598, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@48c63d38)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@763902b2)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@48e9c09a)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7ecb45e0)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@71d98fc)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@390f363f)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3f64dc94)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1ba47add)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7015db2d)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@306ba5de)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@29f24f3b)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@11b8ba4a)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4faad7e3)
2020-04-29T14:16:13.599, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2202ce9d)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@19b2c671)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4d8c55e7)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5480967a)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6042dc51)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6fcc1f66)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@40405c15)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@10a33121)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6675c730)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@694dd3b7)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2b2f8a7f)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@220c8c02)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6a889334)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6d5f25b9)
2020-04-29T14:16:13.600, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3af4261f)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7c5ec1df)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5261ec53)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4687794b)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5d587b5a)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@57820917)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@adc74c0)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@776c19f1)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@69f02eed)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2e7d4875)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@47ee530e)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@50da6993)
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3835b223)
